VenId,VenName,Location,Capacity,VenuDescription,Rental_price
302,Treutel Inc,869 Northland Terrace,1468,Complete event package with bar and DJ,46000
303,Kilback LLC,219 Prairie Rose Avenue,1377,"Designed space for weddings, bar mitzvahs, and conferences",54000
304,Mitchell Group,1611 Talmadge Trail,851,"Designed space for weddings, bar mitzvahs, and conferences",31000
305,"Reichert, Jerde and Schaefer",49025 David Park,702,Suitable for events up to 1000 guests,35000
306,Graham and Sons,47 Basil Way,397,Elegant design with adjacent parking,93000
307,"Hermiston, Lesch and Dooley",31 Luster Place,935,"Designed space for weddings, bar mitzvahs, and conferences",96000
308,"Denesik, Hodkiewicz and Bailey",75860 Arizona Trail,1239,Complete event package with bar and DJ,88000
309,Witting and Sons,40 Birchwood Crossing,63,Elegant design with adjacent parking,71000
310,Macejkovic Inc,8 Trailsway Lane,676,"Includes dance floor, professional lighting and sound system",27000
311,Kihn and Sons,57 Browning Terrace,1200,Elegant design with adjacent parking,41000
312,Cartwright LLC,992 Bluejay Lane,1074,"Includes dance floor, professional lighting and sound system",21000
313,"Runolfsdottir, Brekke and Thompson",71920 8th Junction,680,Complete event package with bar and DJ,26000
314,Larkin and Sons,0 Macpherson Circle,113,Suitable for events up to 1000 guests,37000
315,Emmerich-Cummings,98763 Killdeer Avenue,1015,"Designed space for weddings, bar mitzvahs, and conferences",69000
316,Stiedemann-Parker,34381 Bayside Court,612,Elegant design with adjacent parking,89000
317,Ledner and Sons,440 Barby Parkway,815,Modern hall with full catering services,6000
318,Brakus Inc,3 Dwight Drive,105,Unforgettable hosting experience in a grand hall,4000
319,"Dibbert, Hane and Leuschke",8902 Buhler Point,988,Luxury venue for private and corporate events,32000
320,Streich and Sons,658 Reinke Road,555,"Includes dance floor, professional lighting and sound system",96000
321,Herzog Inc,0 Roth Center,19,Modern hall with full catering services,36000
322,"Turcotte, D'Amore and Stark",374 Bay Drive,431,"Designed space for weddings, bar mitzvahs, and conferences",19000
323,"Kshlerin, McCullough and O'Connell",01064 Straubel Parkway,573,Panoramic view and luxurious atmosphere,93000
324,Leffler and Sons,0958 Pennsylvania Circle,706,Elegant design with adjacent parking,10000
325,"Ullrich, O'Keefe and Feil",72949 Bluestem Trail,1294,Luxury venue for private and corporate events,66000
326,Stiedemann-Leuschke,318 Myrtle Point,1403,Includes outdoor garden for ceremonies and open-air events,12000
327,Skiles-Marvin,43635 Stoughton Place,1421,Unforgettable hosting experience in a grand hall,90000
328,Hintz-Kohler,245 Summit Court,379,Modern hall with full catering services,83000
329,"Sawayn, Reichel and Upton",99827 Bultman Way,199,Luxury venue for private and corporate events,68000
330,"Miller, Mayert and Feil",40485 Mayer Avenue,1442,Modern hall with full catering services,70000
331,"Kihn, Pouros and Wiza",0 Forest Dale Way,1072,Suitable for events up to 1000 guests,52000
332,Welch LLC,8799 Pennsylvania Plaza,398,Elegant design with adjacent parking,68000
333,Abbott-Mills,525 Scoville Drive,918,Complete event package with bar and DJ,56000
334,Klocko-Hane,2405 Fairfield Pass,716,Elegant design with adjacent parking,26000
335,Will Inc,16 Crowley Trail,216,"Designed space for weddings, bar mitzvahs, and conferences",36000
336,McGlynn-Reilly,11780 East Center,932,Suitable for events up to 1000 guests,41000
337,Kohler-VonRueden,80821 Lillian Trail,1189,Complete event package with bar and DJ,86000
338,Ritchie Inc,6470 Lawn Crossing,859,"Includes dance floor, professional lighting and sound system",74000
339,Ondricka Group,1 Nevada Center,1321,Luxury venue for private and corporate events,2000
340,"Bergnaum, Reinger and Davis",1 Steensland Crossing,13,Unforgettable hosting experience in a grand hall,95000
341,Gerlach LLC,0 Hoepker Drive,729,Panoramic view and luxurious atmosphere,9000
342,Rau-Walter,8 Hansons Circle,1498,Panoramic view and luxurious atmosphere,94000
343,O'Conner-Mitchell,5 Pawling Plaza,1349,"Includes dance floor, professional lighting and sound system",26000
344,Harber-Dibbert,84342 Northview Place,272,Luxury venue for private and corporate events,32000
345,White-Murray,60115 Delladonna Park,1466,"Designed space for weddings, bar mitzvahs, and conferences",42000
346,Schiller and Sons,27 Starling Plaza,33,Complete event package with bar and DJ,16000
347,"Marquardt, Fadel and Hammes",21914 Anderson Place,158,Elegant design with adjacent parking,8000
348,Marvin LLC,498 Reinke Way,387,"Includes dance floor, professional lighting and sound system",46000
349,Feil LLC,07 Judy Way,317,Suitable for events up to 1000 guests,61000
350,VonRueden-Collins,55 Crowley Center,1142,Includes outdoor garden for ceremonies and open-air events,15000
351,Greenholt-Kertzmann,706 Russell Pass,732,Luxury venue for private and corporate events,49000
352,Keeling Inc,26826 Ridgeview Crossing,126,"Includes dance floor, professional lighting and sound system",7000
353,Ryan-Waelchi,3 Karstens Parkway,900,Panoramic view and luxurious atmosphere,63000
354,Grady Group,26759 Gina Plaza,722,"Designed space for weddings, bar mitzvahs, and conferences",98000
355,Mueller Group,712 Butternut Hill,823,Suitable for events up to 1000 guests,98000
356,Rau and Sons,58610 Dwight Point,1013,Suitable for events up to 1000 guests,10000
357,"Beier, Ward and Hills",7765 Lotheville Street,75,"Includes dance floor, professional lighting and sound system",39000
358,Spencer-Bartell,448 Dayton Street,1410,"Designed space for weddings, bar mitzvahs, and conferences",38000
359,Zboncak Group,575 Superior Pass,475,Unforgettable hosting experience in a grand hall,39000
360,"Cronin, Waelchi and Swaniawski",3 Park Meadow Hill,772,Panoramic view and luxurious atmosphere,70000
361,"Haag, Weissnat and Heller",536 Ridge Oak Place,1195,Unforgettable hosting experience in a grand hall,61000
362,Jerde-Yost,26220 Lien Road,1491,Modern hall with full catering services,21000
363,Steuber-Conroy,378 Mandrake Place,1444,Includes outdoor garden for ceremonies and open-air events,78000
364,Lehner-Brakus,97 Algoma Center,367,Suitable for events up to 1000 guests,12000
365,Rosenbaum-Cremin,664 Declaration Parkway,917,Panoramic view and luxurious atmosphere,77000
366,Pfeffer-McGlynn,0819 Merrick Trail,786,Complete event package with bar and DJ,68000
367,"Sauer, Roob and Feil",810 Gale Plaza,12,Unforgettable hosting experience in a grand hall,100000
368,Purdy-Weissnat,51179 Carpenter Park,905,Modern hall with full catering services,73000
369,Schinner and Sons,63 Shasta Lane,278,Modern hall with full catering services,26000
370,"Herzog, Leuschke and McDermott",74 American Ash Trail,1312,"Designed space for weddings, bar mitzvahs, and conferences",69000
371,Gutkowski and Sons,4128 Haas Place,527,Elegant design with adjacent parking,96000
372,"Corkery, Schneider and Stanton",1298 Mockingbird Drive,1328,Suitable for events up to 1000 guests,26000
373,Padberg-Leannon,368 Lindbergh Park,441,Unforgettable hosting experience in a grand hall,86000
374,Fisher and Sons,94293 Starling Alley,600,Complete event package with bar and DJ,56000
375,"Windler, Howell and Robel",0971 Holy Cross Terrace,1216,Complete event package with bar and DJ,37000
376,Runte-Windler,5179 Fuller Avenue,1138,Includes outdoor garden for ceremonies and open-air events,69000
377,Kris Group,8 Arrowood Plaza,148,Unforgettable hosting experience in a grand hall,19000
378,Sipes-Kulas,85 Ilene Hill,350,"Includes dance floor, professional lighting and sound system",62000
379,Tromp Group,20 Fair Oaks Circle,1048,Suitable for events up to 1000 guests,26000
380,"Becker, Boehm and Mante",94 Graedel Junction,5,Panoramic view and luxurious atmosphere,1000
381,Morissette-Buckridge,26 Quincy Terrace,260,Elegant design with adjacent parking,99000
382,Powlowski-Schmitt,9840 Mesta Crossing,929,Elegant design with adjacent parking,83000
383,Casper-Christiansen,93130 Bluestem Crossing,984,Panoramic view and luxurious atmosphere,23000
384,Mueller and Sons,9752 Schiller Park,380,Panoramic view and luxurious atmosphere,24000
385,Cummerata and Sons,1907 Dovetail Plaza,1269,Panoramic view and luxurious atmosphere,96000
386,Prohaska-Predovic,55028 Sachs Center,900,Unforgettable hosting experience in a grand hall,25000
387,Pfeffer-Jones,6 Karstens Alley,9,Panoramic view and luxurious atmosphere,24000
388,"Schneider, Leannon and Schaefer",3248 Mayfield Trail,706,Suitable for events up to 1000 guests,74000
389,"Daniel, Grady and Walker",1 Westport Parkway,660,Luxury venue for private and corporate events,2000
390,Pacocha Group,0084 Loeprich Parkway,860,Elegant design with adjacent parking,35000
391,Yost and Sons,17159 Spenser Crossing,162,Panoramic view and luxurious atmosphere,78000
392,"Kassulke, Rodriguez and Pouros",26 Manley Plaza,272,Unforgettable hosting experience in a grand hall,5000
393,Wiza-Hodkiewicz,74 Namekagon Parkway,784,Complete event package with bar and DJ,70000
394,Sauer LLC,9245 Calypso Park,307,"Includes dance floor, professional lighting and sound system",85000
395,"O'Keefe, Volkman and Thiel",9467 Farmco Pass,220,Panoramic view and luxurious atmosphere,46000
396,Ritchie-Howe,1358 Scott Alley,1145,"Includes dance floor, professional lighting and sound system",71000
397,Botsford Inc,162 Orin Avenue,804,Modern hall with full catering services,76000
398,Zulauf-Murray,822 Fremont Circle,891,Luxury venue for private and corporate events,77000
399,Treutel and Sons,83559 Gulseth Street,1388,"Designed space for weddings, bar mitzvahs, and conferences",49000
400,Runte-Flatley,3455 Fuller Terrace,160,Luxury venue for private and corporate events,31000
